Soil_Color,Crop,Pest,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Fertilizer,Pesticide
2,1,2,32,67,86,Compost,Fungicides
1,4,1,30,5,12,Compost,Herbicides
4,3,1,23,47,95,Compost,Herbicides
1,3,0,29,21,34,Compost,Insecticides
0,0,0,32,26,77,Organic,Insecticides
3,4,1,36,63,69,Compost,Herbicides
2,3,0,75,18,73,Organic,Insecticides
0,4,0,32,6,95,Organic,Insecticides
0,2,0,45,46,59,Organic,Insecticides
0,3,0,60,69,1,Compost,Insecticides
0,4,2,55,71,75,Compost,Fungicides
4,2,2,25,31,73,NPK,Fungicides
2,0,2,48,62,45,Compost,Fungicides
2,3,0,63,15,3,Compost,Insecticides
1,3,0,34,41,76,Compost,Insecticides
4,0,2,29,23,70,NPK,Fungicides
0,0,2,60,96,3,Urea,Fungicides
4,2,1,82,60,99,Compost,Herbicides
2,2,1,27,53,3,Urea,Herbicides
1,0,0,2,70,58,Compost,Insecticides
3,3,2,56,33,98,Compost,Fungicides
3,0,2,33,74,3,Compost,Fungicides
4,0,0,25,3,73,NPK,Insecticides
0,2,2,91,26,53,Compost,Fungicides
4,2,1,10,7,45,Urea,Herbicides
1,2,0,11,12,73,Urea,Insecticides
4,1,0,23,21,62,NPK,Insecticides
2,2,2,62,67,65,Organic,Fungicides
3,0,1,1,19,61,Organic,Herbicides
0,2,2,80,30,61,Organic,Fungicides
3,4,1,92,61,43,NPK,Herbicides
1,3,0,24,12,16,Urea,Insecticides
2,4,2,61,25,17,Compost,Fungicides
3,0,1,11,67,94,Compost,Herbicides
2,0,1,55,93,7,Compost,Herbicides
4,2,1,74,26,80,NPK,Herbicides
2,1,1,41,14,48,Urea,Herbicides
0,4,1,3,95,76,Compost,Herbicides
0,2,2,41,36,31,Urea,Fungicides
2,0,1,79,97,23,Compost,Herbicides
2,3,1,10,98,35,Urea,Herbicides
3,3,0,43,81,41,Compost,Insecticides
0,3,2,98,25,25,Organic,Fungicides
2,2,0,98,71,72,NPK,Insecticides
3,4,0,78,36,31,NPK,Insecticides
2,2,2,76,15,87,NPK,Fungicides
2,2,2,39,53,31,NPK,Fungicides
1,3,2,96,78,1,Compost,Fungicides
4,3,0,48,3,7,Urea,Insecticides
4,0,2,81,12,90,Urea,Fungicides
1,0,0,10,11,4,Organic,Insecticides
0,1,0,86,38,15,Organic,Insecticides
1,2,1,53,45,77,Compost,Herbicides
4,2,0,73,17,53,Organic,Insecticides
0,0,2,48,82,55,Compost,Fungicides
1,4,0,84,62,25,Urea,Insecticides
3,1,0,87,46,22,Urea,Insecticides
2,1,2,29,20,44,Urea,Fungicides
3,0,2,94,64,47,NPK,Fungicides
2,3,1,76,45,31,Urea,Herbicides
0,3,2,45,32,13,Compost,Fungicides
2,2,0,30,31,20,Compost,Insecticides
2,3,1,7,7,69,Compost,Herbicides
4,0,2,48,96,17,Compost,Fungicides
1,2,1,51,57,62,Organic,Herbicides
4,3,0,50,55,0,Urea,Insecticides
2,2,1,5,96,37,NPK,Herbicides
1,0,2,87,23,79,Urea,Fungicides
4,1,1,70,71,65,Compost,Herbicides
4,3,1,7,34,5,NPK,Herbicides
2,3,0,10,1,89,Organic,Insecticides
1,0,1,64,61,60,Organic,Herbicides
0,3,0,7,46,66,Organic,Insecticides
1,2,2,96,12,10,Urea,Fungicides
0,0,0,27,2,40,NPK,Insecticides
2,3,2,36,94,63,Compost,Fungicides
3,3,2,86,26,29,NPK,Fungicides
1,4,1,37,28,90,Organic,Herbicides
1,2,0,8,28,9,Organic,Insecticides
4,3,0,66,35,27,NPK,Insecticides
0,0,2,7,82,3,Organic,Fungicides
1,1,0,62,62,49,NPK,Insecticides
1,0,2,34,22,14,Urea,Fungicides
4,4,2,65,17,82,Organic,Fungicides
3,3,0,51,81,10,Urea,Insecticides
0,4,1,64,97,67,Compost,Herbicides
3,3,1,96,46,92,Urea,Herbicides
4,0,2,34,33,76,Compost,Fungicides
1,0,2,93,63,17,Compost,Fungicides
3,2,2,83,83,60,Urea,Fungicides
2,2,0,12,22,92,Organic,Insecticides
1,3,1,80,55,39,Organic,Herbicides
1,3,1,70,40,17,Urea,Herbicides
1,0,2,45,72,93,NPK,Fungicides
3,4,2,66,8,3,NPK,Fungicides
3,0,2,76,98,61,Urea,Fungicides
3,3,2,99,92,97,Urea,Fungicides
2,4,1,97,98,97,NPK,Herbicides
3,1,0,62,0,97,Compost,Insecticides
1,2,0,37,74,45,NPK,Insecticides
1,2,2,3,21,20,NPK,Fungicides
2,1,2,96,39,0,Compost,Fungicides
3,2,0,35,99,34,Urea,Insecticides
2,3,2,44,21,13,NPK,Fungicides
4,1,0,42,33,41,Compost,Insecticides
2,1,0,44,47,1,Compost,Insecticides
0,1,1,29,42,21,Urea,Herbicides
0,4,2,45,58,16,Compost,Fungicides
1,1,1,75,39,18,Compost,Herbicides
3,0,1,1,28,57,Compost,Herbicides
3,1,1,42,26,95,Urea,Herbicides
3,1,1,16,33,28,Organic,Herbicides
3,1,2,63,12,86,Compost,Fungicides
1,4,1,83,32,15,Organic,Herbicides
0,3,2,4,54,77,NPK,Fungicides
2,2,2,86,93,85,NPK,Fungicides
0,1,2,38,33,86,NPK,Fungicides
2,4,1,66,17,83,Compost,Herbicides
0,3,2,33,16,39,Compost,Fungicides
2,4,0,23,3,41,Compost,Insecticides
3,4,2,24,5,3,NPK,Fungicides
1,2,1,14,24,45,Urea,Herbicides
2,4,2,5,84,8,Compost,Fungicides
1,1,0,89,36,13,Urea,Insecticides
1,1,0,22,17,21,Compost,Insecticides
2,3,2,33,19,65,Organic,Fungicides
3,1,2,88,60,18,Compost,Fungicides
0,0,0,20,27,66,Organic,Insecticides
0,1,2,16,46,62,Organic,Fungicides
3,4,1,68,25,19,Organic,Herbicides
3,4,2,3,60,29,NPK,Fungicides
3,0,2,89,38,36,NPK,Fungicides
2,1,1,0,55,66,Compost,Herbicides
3,4,1,29,99,24,Urea,Herbicides
4,3,0,85,78,53,Compost,Insecticides
3,0,1,65,61,0,NPK,Herbicides
0,1,2,7,80,5,Organic,Fungicides
2,1,0,87,47,79,NPK,Insecticides
2,0,2,25,48,23,NPK,Fungicides
0,2,0,61,10,97,Compost,Insecticides
2,1,0,14,18,65,NPK,Insecticides
3,2,2,84,15,57,Urea,Fungicides
0,4,0,84,32,28,Urea,Insecticides
1,1,0,51,76,71,NPK,Insecticides
4,1,0,69,10,26,Urea,Insecticides
1,4,0,35,3,99,Urea,Insecticides
0,1,0,72,46,66,Urea,Insecticides
1,1,2,9,71,48,Compost,Fungicides
2,2,2,97,35,41,Urea,Fungicides
2,4,1,73,3,53,NPK,Herbicides
1,2,0,72,9,57,Organic,Insecticides
4,2,2,65,24,50,Organic,Fungicides
1,3,0,51,16,47,Organic,Insecticides
1,1,0,44,74,75,Urea,Insecticides
4,2,0,79,6,27,Organic,Insecticides
2,3,1,71,52,85,Organic,Herbicides
3,3,1,46,53,79,Organic,Herbicides
2,3,2,38,52,97,Compost,Fungicides
3,3,1,86,96,73,NPK,Herbicides
1,2,1,55,86,74,NPK,Herbicides
3,2,1,57,8,63,Compost,Herbicides
4,1,0,82,57,37,Organic,Insecticides
4,0,1,36,22,67,Organic,Herbicides
0,1,1,20,50,22,Urea,Herbicides
3,0,2,60,24,84,Urea,Fungicides
1,0,1,16,27,14,Compost,Herbicides
2,3,2,2,54,57,NPK,Fungicides
3,2,2,53,74,86,Compost,Fungicides
1,4,1,51,57,83,NPK,Herbicides
3,1,0,0,85,17,Organic,Insecticides
0,1,1,83,73,66,Compost,Herbicides
0,4,1,18,15,70,Urea,Herbicides
0,2,2,99,17,18,NPK,Fungicides
4,0,2,9,86,3,Compost,Fungicides
4,4,2,56,15,5,NPK,Fungicides
2,1,2,28,24,80,Compost,Fungicides
2,1,0,64,66,96,NPK,Insecticides
2,3,2,25,88,90,Compost,Fungicides
3,1,2,38,60,40,Urea,Fungicides
0,0,0,45,15,58,Compost,Insecticides
2,2,0,10,3,13,Organic,Insecticides
0,1,1,13,84,83,Urea,Herbicides
0,4,2,97,37,19,Compost,Fungicides
0,2,2,99,81,78,Organic,Fungicides
4,0,1,83,43,61,Organic,Herbicides
4,3,0,89,34,29,Organic,Insecticides
1,2,1,89,86,5,Urea,Herbicides
0,0,1,19,70,6,Organic,Herbicides
3,3,0,67,36,67,NPK,Insecticides
1,2,2,59,54,17,NPK,Fungicides
3,0,2,70,77,38,Organic,Fungicides
1,3,2,67,45,88,Organic,Fungicides
3,0,2,8,89,1,Compost,Fungicides
3,1,0,87,58,65,Urea,Insecticides
4,1,2,28,46,29,NPK,Fungicides
0,2,1,44,43,31,Organic,Herbicides
4,4,2,41,69,74,NPK,Fungicides
3,2,1,19,16,17,Compost,Herbicides
2,2,2,81,5,19,NPK,Fungicides
3,4,0,76,53,30,Urea,Insecticides
2,3,2,91,57,45,Compost,Fungicides
2,1,0,97,55,84,Urea,Insecticides
4,4,0,62,44,12,NPK,Insecticides
2,2,1,46,83,30,Compost,Herbicides
0,4,0,33,80,82,Organic,Insecticides
3,1,0,25,42,78,Compost,Insecticides
3,3,2,63,7,60,Compost,Fungicides
4,3,1,98,18,54,Urea,Herbicides
4,4,2,81,77,94,Organic,Fungicides
3,0,2,24,59,85,Organic,Fungicides
3,1,2,39,39,17,Compost,Fungicides
0,3,2,45,41,28,Organic,Fungicides
1,2,0,37,29,65,Organic,Insecticides
3,3,2,6,24,53,NPK,Fungicides
2,0,1,30,60,57,Urea,Herbicides
4,1,0,83,91,86,Compost,Insecticides
1,0,2,35,48,62,Compost,Fungicides
3,0,0,86,0,12,Organic,Insecticides
1,1,2,30,11,67,Compost,Fungicides
0,2,1,87,17,94,NPK,Herbicides
0,3,1,42,16,26,Organic,Herbicides
4,2,2,27,27,11,Organic,Fungicides
3,0,0,9,10,97,Organic,Insecticides
3,4,0,65,19,72,NPK,Insecticides
4,3,2,27,53,78,NPK,Fungicides
1,4,1,25,27,79,NPK,Herbicides
0,1,2,25,76,35,Organic,Fungicides
4,2,0,56,78,68,NPK,Insecticides
3,0,1,58,37,45,Compost,Herbicides
0,4,0,14,46,9,NPK,Insecticides
4,3,0,58,84,57,NPK,Insecticides
4,1,1,86,66,24,Compost,Herbicides
3,4,0,40,3,90,NPK,Insecticides
3,4,0,12,77,91,NPK,Insecticides
0,3,0,64,3,96,Urea,Insecticides
0,4,2,19,38,3,Organic,Fungicides
2,4,0,79,74,56,NPK,Insecticides
3,3,1,77,21,78,Urea,Herbicides
3,0,0,51,76,23,Urea,Insecticides
4,2,0,19,37,50,Urea,Insecticides
1,2,2,82,78,99,NPK,Fungicides
2,2,2,37,46,54,Urea,Fungicides
2,1,1,14,63,58,Organic,Herbicides
2,2,0,61,71,75,NPK,Insecticides
1,4,0,60,66,14,Organic,Insecticides
3,1,2,76,58,47,Organic,Fungicides
4,2,1,82,78,55,Compost,Herbicides
3,2,1,57,74,88,NPK,Herbicides
3,2,0,93,74,3,Compost,Insecticides
0,3,2,18,66,74,Urea,Fungicides
4,0,2,51,80,11,Urea,Fungicides
4,3,1,12,60,55,Compost,Herbicides
3,4,2,96,6,98,Compost,Fungicides
2,0,1,40,36,32,Compost,Herbicides
3,4,1,38,33,8,Organic,Herbicides
1,4,0,47,46,33,Compost,Insecticides
2,2,2,83,5,41,Urea,Fungicides
3,3,0,81,93,37,Organic,Insecticides
2,1,0,56,46,64,NPK,Insecticides
4,4,2,35,78,52,NPK,Fungicides
4,0,0,41,68,70,NPK,Insecticides
1,3,1,18,19,44,Urea,Herbicides
3,4,0,23,86,25,Compost,Insecticides
1,4,2,78,95,56,Compost,Fungicides
4,3,0,28,32,89,Compost,Insecticides
2,0,1,74,55,97,Compost,Herbicides
1,2,1,17,19,42,NPK,Herbicides
1,3,0,95,20,77,Organic,Insecticides
2,4,0,10,77,43,Compost,Insecticides
1,0,1,24,33,18,Organic,Herbicides
4,2,1,57,80,71,Organic,Herbicides
1,3,1,94,93,99,Compost,Herbicides
2,0,0,46,46,36,Organic,Insecticides
2,0,2,61,19,31,Organic,Fungicides
1,3,2,67,62,56,Urea,Fungicides
4,4,1,37,64,80,Organic,Herbicides
3,0,0,13,11,3,Compost,Insecticides
0,3,0,89,25,21,Organic,Insecticides
1,2,0,35,53,79,Urea,Insecticides
2,3,1,32,89,52,Urea,Herbicides
4,2,0,24,84,42,Urea,Insecticides
3,2,0,35,71,74,Urea,Insecticides
3,0,1,0,16,17,NPK,Herbicides
3,2,1,68,41,65,Urea,Herbicides
3,4,2,59,11,5,Urea,Fungicides
0,2,0,19,65,16,Organic,Insecticides
3,2,2,92,8,52,Compost,Fungicides
2,0,2,87,29,6,Compost,Fungicides
2,4,1,69,5,55,Organic,Herbicides
1,3,0,39,33,20,NPK,Insecticides
2,4,1,15,0,49,NPK,Herbicides
2,1,1,6,66,44,Compost,Herbicides
0,4,0,53,24,1,NPK,Insecticides
2,1,1,60,8,56,Compost,Herbicides
0,0,1,3,60,7,Organic,Herbicides
3,3,0,98,4,9,Compost,Insecticides
1,1,1,31,9,33,Organic,Herbicides
0,1,2,15,12,74,Organic,Fungicides
1,2,2,78,2,23,Urea,Fungicides
4,2,1,32,72,51,Compost,Herbicides
4,4,0,55,27,79,NPK,Insecticides
4,0,1,49,43,75,NPK,Herbicides
3,0,1,22,86,84,Urea,Herbicides
4,1,2,10,16,50,Organic,Fungicides
3,1,1,26,26,12,Organic,Herbicides
3,3,2,77,2,30,Urea,Fungicides
2,1,2,49,87,49,Organic,Fungicides
2,4,1,90,74,84,NPK,Herbicides
1,0,1,64,52,6,Compost,Herbicides
3,1,1,1,51,11,NPK,Herbicides
4,0,0,49,42,66,NPK,Insecticides
2,1,2,90,92,93,Urea,Fungicides
0,2,0,63,10,93,NPK,Insecticides
4,1,0,32,98,81,NPK,Insecticides
2,4,0,52,27,3,Organic,Insecticides
4,3,2,38,82,61,Urea,Fungicides
1,0,1,16,75,28,NPK,Herbicides
1,2,0,49,90,53,Urea,Insecticides
4,3,1,14,95,99,Urea,Herbicides
2,0,2,40,61,10,NPK,Fungicides
4,3,2,69,57,34,Organic,Fungicides
4,2,0,11,87,19,Organic,Insecticides
4,3,2,44,27,45,Compost,Fungicides
4,1,2,19,37,93,Compost,Fungicides
4,2,2,63,91,81,NPK,Fungicides
3,4,2,45,29,35,Organic,Fungicides
4,1,2,14,4,6,Urea,Fungicides
3,4,1,66,29,92,Compost,Herbicides
1,4,0,3,40,91,NPK,Insecticides
2,1,1,99,81,48,NPK,Herbicides
1,4,1,25,15,62,NPK,Herbicides
1,2,0,54,15,43,Organic,Insecticides
4,1,1,77,50,88,Compost,Herbicides
0,4,0,59,7,67,Organic,Insecticides
1,2,1,89,70,15,Compost,Herbicides
4,2,1,37,74,52,Compost,Herbicides
1,1,2,72,43,13,Organic,Fungicides
2,4,1,31,49,64,NPK,Herbicides
2,2,1,59,15,19,Organic,Herbicides
2,0,1,54,96,86,Compost,Herbicides
4,1,0,89,54,75,Organic,Insecticides
4,2,0,47,33,55,Compost,Insecticides
0,4,2,23,99,6,Urea,Fungicides
0,0,2,10,75,5,Urea,Fungicides
1,3,1,5,44,59,Compost,Herbicides
3,4,0,83,34,91,NPK,Insecticides
2,0,1,20,35,83,Compost,Herbicides
2,3,0,21,62,62,Compost,Insecticides
4,0,0,4,88,1,Compost,Insecticides
0,0,2,38,86,1,Compost,Fungicides
4,2,0,49,99,75,Compost,Insecticides
1,0,0,1,22,45,Urea,Insecticides
4,1,2,29,59,49,Compost,Fungicides
2,0,2,45,37,76,Organic,Fungicides
0,0,2,22,75,0,NPK,Fungicides
2,0,1,49,76,69,Compost,Herbicides
0,0,0,23,14,24,Urea,Insecticides
0,2,0,14,45,21,Compost,Insecticides
3,1,1,87,38,69,Organic,Herbicides
3,3,2,14,5,7,Compost,Fungicides
2,3,1,16,13,25,NPK,Herbicides
1,3,2,96,55,62,Urea,Fungicides
1,4,1,9,88,53,Urea,Herbicides
1,0,1,28,59,73,Urea,Herbicides
0,0,0,9,19,83,NPK,Insecticides
3,4,0,46,39,2,Urea,Insecticides
2,2,0,5,86,62,Organic,Insecticides
1,4,2,24,38,65,Organic,Fungicides
0,4,0,0,93,90,NPK,Insecticides
4,1,2,50,81,46,Compost,Fungicides
4,4,0,7,89,12,NPK,Insecticides
4,0,1,53,78,71,Urea,Herbicides
0,1,2,62,23,7,Urea,Fungicides
4,1,0,39,45,56,Compost,Insecticides
4,2,1,38,97,80,Compost,Herbicides
4,3,2,89,4,62,Compost,Fungicides
1,4,0,82,44,6,Organic,Insecticides
2,2,2,23,91,61,Compost,Fungicides
1,0,0,42,52,75,Organic,Insecticides
1,3,2,3,50,99,NPK,Fungicides
2,1,2,29,99,88,NPK,Fungicides
3,0,1,22,50,92,NPK,Herbicides
1,1,2,33,8,70,Compost,Fungicides
4,3,1,73,85,12,Urea,Herbicides
4,4,0,47,72,92,Compost,Insecticides
4,0,1,10,96,96,Urea,Herbicides
2,3,2,6,38,8,Urea,Fungicides
1,2,1,22,8,81,Urea,Herbicides
2,0,2,65,89,39,NPK,Fungicides
0,1,2,91,50,58,Compost,Fungicides
3,3,2,26,42,45,Organic,Fungicides
2,1,1,45,73,2,Urea,Herbicides
3,0,1,66,58,24,Organic,Herbicides
2,1,2,2,49,31,NPK,Fungicides
1,0,0,49,1,42,NPK,Insecticides
1,1,2,46,14,22,Urea,Fungicides
2,1,1,30,91,61,Compost,Herbicides
0,3,2,97,59,52,Urea,Fungicides
0,3,2,14,46,51,Organic,Fungicides
3,4,0,78,0,20,NPK,Insecticides
3,0,0,39,1,78,NPK,Insecticides
4,1,2,74,86,37,Compost,Fungicides
3,4,1,69,13,0,Organic,Herbicides
4,3,1,36,31,9,NPK,Herbicides
1,0,2,21,14,19,Compost,Fungicides
2,1,1,42,87,73,Compost,Herbicides
2,4,2,56,37,33,Organic,Fungicides
0,3,0,49,5,88,Compost,Insecticides
0,2,1,62,9,99,NPK,Herbicides
0,1,1,13,15,58,Compost,Herbicides
4,3,1,65,5,81,Urea,Herbicides
2,0,0,53,53,29,Organic,Insecticides
1,1,1,71,40,13,Organic,Herbicides
1,3,2,3,15,95,Compost,Fungicides
2,4,1,93,4,39,Urea,Herbicides
4,3,1,77,31,16,NPK,Herbicides
0,2,0,61,19,58,Organic,Insecticides
2,4,1,56,33,8,Organic,Herbicides
3,2,2,27,23,19,Urea,Fungicides
4,3,1,24,47,64,NPK,Herbicides
3,4,2,69,65,90,NPK,Fungicides
0,1,1,20,77,87,Organic,Herbicides
1,2,0,23,47,13,Organic,Insecticides
1,4,2,75,4,83,Urea,Fungicides
3,3,0,94,58,41,NPK,Insecticides
0,4,0,97,81,33,Organic,Insecticides
4,0,0,12,37,27,Organic,Insecticides
3,2,0,51,69,7,Organic,Insecticides
0,2,2,2,8,98,Compost,Fungicides
2,0,1,78,77,36,NPK,Herbicides
1,4,1,48,34,92,Compost,Herbicides
4,1,0,25,93,66,NPK,Insecticides
4,2,0,54,49,80,NPK,Insecticides
1,4,0,0,64,27,Urea,Insecticides
2,0,0,46,9,49,NPK,Insecticides
4,3,0,87,33,0,NPK,Insecticides
3,2,1,48,84,92,Urea,Herbicides
0,3,1,78,67,91,NPK,Herbicides
0,3,2,37,24,62,Compost,Fungicides
3,2,2,9,50,8,NPK,Fungicides
0,0,2,34,77,78,NPK,Fungicides
3,2,2,23,87,23,Organic,Fungicides
4,4,2,96,25,61,Urea,Fungicides
1,0,1,34,52,25,Organic,Herbicides
1,3,0,31,8,12,Urea,Insecticides
3,0,2,34,61,42,Urea,Fungicides
4,0,0,10,74,25,Organic,Insecticides
0,4,1,5,67,21,NPK,Herbicides
1,3,1,9,3,91,Urea,Herbicides
0,2,1,66,91,76,Compost,Herbicides
2,0,0,29,74,76,Compost,Insecticides
0,0,2,24,62,48,NPK,Fungicides
4,2,2,71,89,54,Urea,Fungicides
0,2,0,54,21,33,Urea,Insecticides
0,2,1,5,53,38,Compost,Herbicides
1,2,1,64,23,27,Compost,Herbicides
2,4,0,5,80,52,Organic,Insecticides
2,2,1,98,37,22,Organic,Herbicides
4,2,0,11,64,34,Urea,Insecticides
4,1,1,96,55,74,Compost,Herbicides
3,1,1,67,76,67,NPK,Herbicides
4,4,2,41,54,45,Urea,Fungicides
3,2,2,33,62,43,Organic,Fungicides
3,0,2,78,51,45,Compost,Fungicides
4,3,2,51,90,29,NPK,Fungicides
0,4,1,65,66,92,Urea,Herbicides
3,1,0,31,14,80,NPK,Insecticides
2,2,2,74,12,30,Urea,Fungicides
1,3,2,16,99,29,NPK,Fungicides
2,0,0,6,8,8,NPK,Insecticides
1,4,1,88,55,21,Urea,Herbicides
4,1,0,76,8,6,Urea,Insecticides
4,2,2,46,30,80,Urea,Fungicides
4,3,1,90,18,19,Urea,Herbicides
2,1,1,80,73,76,Organic,Herbicides
4,3,1,98,52,64,Organic,Herbicides
2,3,0,34,23,58,NPK,Insecticides
1,2,1,47,65,11,Organic,Herbicides
3,3,0,54,23,11,NPK,Insecticides
0,2,0,95,63,84,Organic,Insecticides
1,3,0,91,31,61,NPK,Insecticides
1,3,2,35,1,41,NPK,Fungicides
4,2,2,87,78,53,Compost,Fungicides
4,3,2,35,77,17,NPK,Fungicides
3,3,2,95,10,55,NPK,Fungicides
2,0,0,76,55,83,Urea,Insecticides
0,0,1,25,85,86,Compost,Herbicides
3,3,2,14,39,49,Urea,Fungicides
1,0,0,48,29,60,NPK,Insecticides
1,0,0,87,49,60,Urea,Insecticides
0,4,0,96,91,80,Urea,Insecticides
3,2,2,46,41,46,NPK,Fungicides
1,0,2,34,37,29,Compost,Fungicides
4,1,1,17,27,42,Compost,Herbicides
2,0,1,4,66,32,Compost,Herbicides
2,0,1,58,2,33,Urea,Herbicides
0,3,1,8,45,75,Organic,Herbicides
2,3,2,10,76,20,Organic,Fungicides
4,4,1,82,3,20,Urea,Herbicides
3,4,1,99,37,54,Organic,Herbicides
1,3,1,29,98,55,Urea,Herbicides
